violet;blue;green;yellow;orange;red;label
34.79;22.58;83.29;69.92;63.81;24.29;gang
36.41;25.22;109.26;87.83;68.02;26.56;gang
40.57;41.2;176.54;138.65;80.92;36;gang
81.91;84.48;319.18;246.98;202.33;75.4;gang
158.72;125.33;459.17;339.78;355.1;120.86;gang
214.15;165.2;565.35;421.91;467.69;161.58;gang
270.24;185.08;641.81;458.41;596.22;190.62;gang
292.41;169.54;555.91;404.71;537.61;189.81;gang
222.21;170.58;596.52;419.64;458.8;154.9;gang
222.1;174.53;676.26;454.17;494.02;134.45;gang
236.79;187.17;768.84;519.86;574.12;140.21;gang
266.61;206.26;862.15;584.27;671.51;149.59;gang
303.15;225.83;952.74;648.64;767.86;159.43;gang
325.64;227.55;1027.97;677.98;852.67;159.88;gang
343.27;220.77;1095.77;706.48;923.31;161.7;gang
362.35;224.3;1157.39;743.63;996.57;166.03;gang
382.51;226.97;1197.45;763.97;1048.32;178.42;gang
422.76;233.47;1225.11;776.17;1100.49;206.38;gang
461.28;242.42;1272.9;802.36;1127.24;234.04;gang
495.66;250.48;1285.01;834.22;1158.61;256.04;gang
513.99;265.53;1311.61;853;1213.55;282.54;gang
535.29;287.38;1330.65;884.4;1238.6;299.88;gang
563.76;302.74;1378.18;908.16;1294.74;319.79;gang
584.19;319.47;1416.26;942.74;1320.66;332.01;gang
597.17;339.42;1446.54;977.97;1330.5;350.31;gang
616.75;359.28;1477.88;1006.67;1277.25;368.18;gang
623.78;376.75;1491.19;1032.1;1204.12;379.06;gang
630.8;390.38;1509.07;1063.99;1207.11;393.16;gang
646.82;406.44;1529.47;1083.19;1215.8;397.94;gang
582.41;415.59;1197.23;1054.1;830.4;401.15;gang
494.7;427.63;1025.12;982.55;612.7;401.73;gang
456.35;441.57;899.56;967.27;513.85;375.87;gang
429.68;448.81;890.28;970.95;475.93;378.18;gang
432.91;454.23;920.55;1006.95;525.43;385.16;gang
440.82;468.21;1015.9;1029.06;605.29;387.45;gang
481.04;461.6;1081.91;1060.25;692.16;391.6;gang
499.43;469.64;1155.52;1080.53;808.84;401.64;gang
535.49;472.88;1214.36;1092.87;878.26;408.28;gang
549.64;479.99;1253.63;1112.89;965.63;416.15;gang
579.38;485.89;1304.07;1117.2;1030.47;422.03;gang
591.44;488.3;1340.96;1129.08;1078.62;431.03;gang
