violet;blue;green;yellow;orange;red;label;;;;;;;;;;;;;
653.5;525.93;377.84;733.95;492.88;2336.49;treppe;;;;;;;;;;;;;
765.45;574.84;499.65;1157.56;818.5;2402.44;treppe;;;;;;;;;;;;;
871.11;721.56;753.99;1727.8;1095.75;2456.59;treppe;;;;;;;;;;;;;
956.6;859.1;953.69;2225.02;1306.87;2508.23;treppe;;;;;;;;;;;;;
1031.64;983.29;1152.82;2686.22;1509.98;2552.31;treppe;;;;;;;;;;;;;
1098.67;1095.56;1338.34;3106.8;1689.69;2590.38;treppe;;;;;;;;;;;;;
1161.41;1196.41;1513.9;3487.72;1879.62;2626.44;treppe;;;;;;;;;;;;;
1226.16;1286.06;1718.11;3852.84;2122.76;2656.7;treppe;;;;;;;;;;;;;
1283.25;1367.56;1895.2;4181.86;2311.28;2682.53;treppe;;;;;;;;;;;;;
1335.42;1440.7;2059.38;4476.67;2508.85;2707.17;treppe;;;;;;;;;;;;;
1388.38;1504.03;2179.74;4717.41;2694.87;2732.26;treppe;;;;;;;;1444.74;1555.13;2301.87;4932.47;2917.58;2753.53
1770.87;1675.54;3315.02;5954.62;4875.86;2825.34;treppe;;;;;;;;1502.27;1598.32;2449.78;5141.02;3184.72;2770.88
1808.48;1692.09;3320.62;6016.55;4971.68;2838.81;treppe;;;;;;;;1561.64;1631.18;2636.6;5345.62;3516.05;2783.79
1837.13;1712.28;3272.31;6070.4;5017.81;2852.23;treppe;;;;;;;;1618.88;1654.77;2817.54;5521.15;3869.84;2794.71
1864.32;1728.55;3232.15;6112.86;5070.73;2864.4;treppe;;;;;;;;1673.39;1667.09;3015.99;5682.54;4265.46;2804.04
1889.59;1739.99;3083.58;6128.97;5115.75;2876.46;treppe;;;;;;;;1724.85;1664.04;3197.69;5833.68;4622.51;2813.94
1913.93;1744.6;2954.29;6130.07;5150.88;2888.42;treppe;;;;;;;;;;;;;
1935.53;1746.14;2752.64;6002.54;5157.89;2901.68;treppe;;;;;;;;;;;;;
