violet	blue	green	yellow	orange	red	label
925.01	693.89	1535.19	1735.26	1155.64	792.25	gang
948.11	698.8	1634.07	1779.23	1227.38	810.83	gang
964.8	708.12	1723.47	1824.61	1272.54	826.65	gang
977.32	721.11	1807.92	1862.15	1332.69	840.58	gang
1000.58	717.55	1895.53	1864.33	1473.22	857.72	gang
1026.73	725.3	1959.97	1805.17	1629.5	874.95	gang
1052.15	748.17	1969.68	1778.58	1778.95	889.16	gang
1076.84	774.75	1784.84	1779.02	1903.75	900.94	gang
1099.95	798.78	1636.42	1796.22	2006.08	907.75	gang
1122.56	820.1	1619.71	1825.2	2099.77	909.47	gang
1143.1	839.49	1636.54	1868.18	2183.89	883.24	gang
1162.19	849.64	1691.48	1920.96	2258.1	813.12	gang
1179.47	796.82	1806.14	1962.27	2346.09	710.06	gang
1189.83	689.41	1929.12	1993.04	2440.98	624.03	gang
1197.54	596.2	2031.31	2000.14	2530.48	574.01	gang
1206.19	532.1	2110.48	1970.07	2609.04	555.51	gang
1207.87	480.55	2206.23	1977.86	2696.33	507.75	gang
1215.48	494.4	2287.31	2028.77	2751.6	513.98	gang
1219.03	516.66	2341.78	2086.2	2802.94	522.08	gang
1226.23	547.89	2365.5	2135.38	2841.15	536.57	gang
1107.75	910.54	1572.48	1678.92	2462.77	839	gang
1123.07	932.78	1641.53	1741.13	2532.09	838	gang
1135.96	952.91	1711.88	1809.02	2595.48	808.5	gang
1145.67	967.61	1772.99	1881.31	2651.94	766.25	gang
1157.3	975.75	1826.19	1955.18	2691.34	737.13	gang
1170.57	950.38	1909.87	2028.86	2714.71	702.06	gang
1184.21	876.19	2020.88	2089.58	2724.74	680.03	gang
1199.19	810.59	2128.2	2128.62	2722.87	683.53	gang
1216.77	733.3	2204.38	2131.56	2756.18	686.08	gang
1230.2	637.15	2269.74	2059.78	2812.06	660.54	gang
1239.68	560.07	2314.86	1969.89	2867.36	651.27	gang
1247.41	509.54	2326.48	1819.94	2922.92	643.63	gang
1250.27	453.27	2237.74	1645.97	2971.23	625.32	gang
1245.63	405.13	2237.37	1566.99	3020.81	602.66	gang
1245.67	385.07	2256.13	1563.99	3071.03	575.33	gang
1247.3	385.36	2302.82	1582.59	3116.42	561.66	gang
1251.77	391.42	2369.74	1622.43	3146.58	562	gang
29312.94	28627.09	26818.8	28302.45	25178.88	29677.61	strahler
31501.75	30884.48	29257.02	30592.31	27781.09	31829.95	strahler
33471.67	32916.13	19853.51	32653.18	30021.79	33767.05	strahler
35244.6	34744.62	13683.25	34507.96	22155.89	35510.45	strahler
36840.25	36390.25	10441.13	36177.26	17845.45	37079.5	strahler
38276.32	37871.33	8633.06	36635.73	14547.22	38491.65	strahler
39568.79	39204.3	7472.03	37041.86	11915.11	39762.58	strahler
40732.01	40403.97	7546.73	38457.77	14469.3	40906.43	strahler
41778.91	41483.67	9607.56	39732.1	18142.47	41935.89	strahler
42721.12	42455.41	13766.9	40878.99	21448.32	42862.4	strahler
43569.11	43329.96	17510.31	41911.19	24423.59	43696.26	strahler
44332.3	44117.07	20879.38	42840.17	27101.33	44446.73	strahler
45019.17	44825.46	23911.54	43676.25	29511.3	45122.16	strahler
40553.58	44666.73	26640.49	44428.73	30557.47	45132.54	strahler
37889.29	45135.66	29096.54	45105.96	29575.74	39374.77	strahler
39220.46	45742.19	31306.98	45715.46	31738.26	40557.4	strahler
40418.52	46288.08	33296.38	46264.01	33684.53	41621.76	strahler
41496.77	46779.37	35086.84	46757.71	35436.18	42579.68	strahler
42467.19	47221.53	36698.26	47202.04	37012.66	43441.82	strahler
43340.57	47619.48	25602.63	47601.94	38431.5	44217.73	strahler
44126.62	45622.74	14030.81	34474.97	39525.14	44916.06	strahler
44834.05	25804.37	8138.91	20118.49	38420.07	45544.56	strahler
45470.75	14105.69	5106.95	11936.74	21518.54	46110.2	strahler
36508.87	8021.84	3604.48	7645.87	12442.77	46619.28	strahler
25867.44	4939.42	2881.24	5489.94	7921.38	47077.46	strahler
18923.72	3382.21	2514.12	4382.47	5605.69	47489.81	strahler
13343.86	2587.61	2357.56	3850.73	4439.35	43100.91	strahler
10060.43	2135.3	2297.28	3598.37	3817.67	32058.45	strahler
7742.71	1965.15	2299.25	3486.68	3506.84	25211.23	strahler
6693.86	1903.08	2329.83	3457.34	3396.92	18203.11	strahler
6730.47	1818.54	2344.74	3428.17	3364.46	12782.56	strahler
6758.82	1730.77	2348.47	3343.09	3363.73	9390.28	strahler
6811.74	1680.38	2353.02	3347.58	3369.96	8343.14	strahler
6897.77	1686.35	2368.92	3357.82	3371.36	8563.12	strahler
6881.88	1687.61	2270.46	3267.91	3197.68	9916.51	strahler
5586.44	1689.65	2178.23	3186.45	3036.84	11184.56	strahler
4540.22	1697.39	2034.61	3025.73	2837.42	12151.01	strahler
