violet,blue,green,yellow,orange,red,label,,,,,,,,,,,,,,,,,,,,
2641.99,2469.61,3782.31,5323.46,6148.9,1941.11,atelier,,,,,,,,,,,,,,,,,,,,
3001.99,2688.55,4604.48,5959.51,7087.91,2016.39,atelier,,,,,,,,,,,,,,,,,,,,
3309.89,2773.2,5494.83,6533.86,7993.42,2059.06,atelier,,,,,,,,,,,,,,,,,,,,
3613.8,2951.18,5753.85,7013.58,8127.08,2252.75,atelier,,,,,,,,,,,,,,,,,,,,
3835.42,3172.86,5634.42,7353.02,6902.54,2475.17,atelier,,,,,,,,,,,,,,,,,,,,
3997.08,3377.67,4887.21,7584.92,5678.77,2688.06,atelier,,,,,,,,,,,,,,,,,,,,
4184.67,3547.41,5598.09,8005.32,6535.79,2709.75,atelier,,,,,,,,,,,,,,,,,,,,
4375.6,3608.56,6164.48,8370.19,7277.21,2746.58,atelier,,,,,,,,,,,,,,,,,,,,
4556.74,3688.21,6809.53,8657.27,8050.89,2729.29,atelier,,,,,,,,,,,,,,,,,,,,
4704.17,3296.1,7517.28,8902.54,8849.7,2507.14,atelier,,,,,,,,,,,,,,,,,,,,
4850.35,3300.69,7952.95,9139.69,9331.83,2564.53,atelier,,,,,,,,,,,,,,,,,,,,
4972.82,3432.22,5357.48,8817.85,6039.42,2791.88,atelier,,,,,,,,,,,,,,,,,,,,
5088.54,3534,6108.43,9077.96,6754.77,2843.59,atelier,,,,,,,,,,,,,,,,,,,,
5202.28,2895.5,7069.99,9309.36,7766.3,2565.79,atelier,,,,,,,,,,,,,,,,,,,,
5295.15,2689.25,7790.29,9536.03,8647.47,2462.4,atelier,,,,,,,,,,,,,,,,,,,,
5366.34,2723.93,8440.06,9638.02,9492.12,2141.7,atelier,,,,,,,,,,,,,,,,,,,,
5412.3,2599.96,8754.95,9216.51,10164.91,2145.13,atelier,,,,,,,,,,,,,,,,,,,,
5471.77,2486.48,9008.16,8623.76,10844.92,2045.06,atelier,,,,,,,,,,,,,,,,,,,,
5483.1,2101.74,8434.08,7159.38,11283.62,1903.53,atelier,,,,,,,,,,,,,,,,,,,,
4939.55,1541.87,7392.54,5859.69,11598.06,1727.27,atelier,,,,,,,,,,,,,,,,,,,,
4590.77,1300.44,7126.77,5044.84,11911.36,1522.13,atelier,,,,,,,,,,,,,,,,,,,,
3938.89,997.22,7443.69,5030.92,12248.82,1243.57,atelier,,,,,,,,,,,,,,,,,,,,
3987.2,1050,7852.02,5284.13,12767.14,1331.61,atelier,,,,,,,,,,,,,,,,,,,,
4178.18,1253.8,8182.32,5639.72,13256.62,1560.25,atelier,,,,,,,,,,,,,,,,,,,,
4385.96,1491.42,8462.99,5862.85,13700.06,1862.22,atelier,,,,,,,,,,,,,,,,,,,,
4583.46,1615.67,8869.49,5966.36,14112.65,2137.3,atelier,,,,,,,,,,,,,,,,,,,,
4761.42,1697.81,9608.74,6345.92,14301.09,2375.07,atelier,,,,,,,,,,,,,,,,,,,,
4919.58,1795.33,10261.47,6826.73,13986.04,2577.46,atelier,,,,,,,,,,,,,,,,,,,,
5058.22,1811.89,10789.62,7038.86,14212.84,2607.32,atelier,,,,,,,,,,,,,,,,,,,,
5168.5,1717.45,11180.36,7441.07,13592.92,2736.99,atelier,,,,,,,,,,,,,,,,,,,,
5267.45,1910.7,11029.68,7840.66,11104.46,2906.79,atelier,,,,,,,,,,,,,,,,,,,,
5348.8,2161.43,10933.84,8206.6,10451.23,3037.51,atelier,,,,,,,,,,,,,,,,,,,,
5448.32,2324.89,11143.26,8510.54,10789.51,3059.36,atelier,,,,,,,,,,,,,,,,,,,,
5530.69,2360.4,11371.53,8694.48,11320.46,2704.68,atelier,,,,,,,,,,,,,,,,,,,,
