"violet","blue","green","yellow","orange","red","label","","","","","","","","","","","","","","","","","","","",""
"4939.55","1541.87","7392.54","5859.69","11598.06","1727.27","atelier","","","","","","","","","","","","","","","","","","","",""
"4590.77","1300.44","7126.77","5044.84","11911.36","1522.13","atelier","","","","","","","","","","","","","","","","","","","",""
"3938.89","997.22","7443.69","5030.92","12248.82","1243.57","atelier","","","","","","","","","","","","","","","","","","","",""
"3987.2","1050","7852.02","5284.13","12767.14","1331.61","atelier","","","","","","","","","","","","","","","","","","","",""
"4178.18","1253.8","8182.32","5639.72","13256.62","1560.25","atelier","","","","","","","","","","","","","","","","","","","",""
"4385.96","1491.42","8462.99","5862.85","13700.06","1862.22","atelier","","","","","","","","","","","","","","","","","","","",""
"4583.46","1615.67","8869.49","5966.36","14112.65","2137.3","atelier","","","","","","","","","","","","","","","","","","","",""
"4761.42","1697.81","9608.74","6345.92","14301.09","2375.07","atelier","","","","","","","","","","","","","","","","","","","",""
"4919.58","1795.33","10261.47","6826.73","13986.04","2577.46","atelier","","","","","","","","","","","","","","","","","","","",""
"5058.22","1811.89","10789.62","7038.86","14212.84","2607.32","atelier","","","","","","","","","","","","","","","","","","","",""
"5168.5","1717.45","11180.36","7441.07","13592.92","2736.99","atelier","","","","","","","","","","","","","","","","","","","",""
"5267.45","1910.7","11029.68","7840.66","11104.46","2906.79","atelier","","","","","","","","","","","","","","","","","","","",""
"5348.8","2161.43","10933.84","8206.6","10451.23","3037.51","atelier","","","","","","","","","","","","","","","","","","","",""
"6750.09","3466.19","4738.64","4711.43","7029.91","5829.41","draussen","","","","","","","","","","","","","","","","","","","",""
"7793.98","4047.07","5424.77","5487.89","7876.01","6722.77","draussen","","","","","","","","","","","","","","","","","","","",""
"8764.98","4655.16","6046.7","6248.3","8677.31","7549.69","draussen","","","","","","","","","","","","","","","","","","","",""
"9735.58","5373.05","6681.13","7036.87","9481.98","8500.82","draussen","","","","","","","","","","","","","","","","","","","",""
"10607.72","6073.84","7115.61","7671.18","10074.18","9411.84","draussen","","","","","","","","","","","","","","","","","","","",""
"11395.85","6739.76","7573.95","8330.06","10670.97","10285.46","draussen","","","","","","","","","","","","","","","","","","","",""
"12100.97","7316.98","8004.56","8895.96","11249.67","11058.81","draussen","","","","","","","","","","","","","","","","","","","",""
"12801.47","7873.58","8539.4","9481.46","11910.3","11820.03","draussen","","","","","","","","","","","","","","","","","","","",""
"13553.42","8460.03","9119.86","10095.61","12577.07","12549.73","draussen","","","","","","","","","","","","","","","","","","","",""
"14226.58","9015.72","9627.58","10712.15","13170.06","13297.65","draussen","","","","","","","","","","","","","","","","","","","",""
"14867.62","9575.85","10037.92","11267.44","13673.86","13942.39","draussen","","","","","","","","","","","","","","","","","","","",""
"15287.46","9927.87","10186.83","11557.49","13929.57","14445.15","draussen","","","","","","","","","","","","","","","","","","","",""
"15690.31","10211.08","10381.04","11848.14","14232.11","14866.73","draussen","","","","","","","","","","","","","","","","","","","",""
"15996.18","10408.97","10389.64","11984.23","14322.8","15207.96","draussen","","","","","","","","","","","","","","","","","","","",""
"16347.16","10740.67","10528.58","12308.41","14497.32","15641.96","draussen","","","","","","","","","","","","","","","","","","","",""
"16765.75","11109.4","10713.02","12679.56","14706.29","16052.07","draussen","","","","","","","","","","","","","","","","","","","",""
"17128.07","11399.56","10915.82","13029.51","14951.06","16400.16","draussen","","","","","","","","","","","","","","","","","","","",""
