violet,blue,green,yellow,orange,red,label
28532.69,5192.03,7142.87,18405.2,35314.49,35678.75,strahler
24751.34,5291.83,8136.68,20426.98,36858.04,37230.98,strahler
20657.17,5627.64,8997.71,22099.58,37892.94,38627.98,strahler
19846.09,6122.38,9469.14,24526.72,39223.75,39885.28,strahler
22981.58,5596.69,6633.57,18259.86,40421.47,41016.85,strahler
25803.52,4812.34,5500.79,13536.93,31495.24,42035.27,strahler
28343.27,4821.71,5002.39,11203.96,22247.12,42951.84,strahler
30629.04,4829.14,5003.05,12392.67,25142.5,43776.76,strahler
32686.23,8247.72,5031.45,16273.5,27748.35,44519.19,strahler
34537.71,8772.65,4969.22,13317.25,29997.32,45187.37,strahler
36204.04,6249.83,4281.11,10462.12,27937.66,45788.73,strahler
37703.73,6291.04,3702.56,10812.21,28391.29,46329.96,strahler
39053.46,9927.54,4113,14851.09,30672.26,46817.07,strahler
40268.21,14054.88,8821.8,18486.08,32725.14,47255.46,strahler
41361.49,17769.5,13059.72,21757.57,34572.72,47650.01,strahler
42345.44,21112.65,16873.85,24701.91,36235.55,48005.11,strahler
43231,24121.48,20295.76,27351.82,37732.09,48324.7,strahler
44028,25594.23,20963.39,29736.74,39078.98,48612.33,strahler
44745.3,16426.62,15084.69,31883.16,40291.19,48871.2,strahler
45390.87,19904.06,10336.35,26803.58,36213.09,49104.18,strahler
45971.88,14682.03,7826.67,19239.29,23429.05,49313.86,strahler
46494.8,14566.51,6492.34,15014.65,16099.02,49502.58,strahler
46965.42,14879.16,5673.17,12184.82,12348.51,49672.42,strahler
37490.21,10187.58,4906.08,9846.41,9908.76,49825.28,strahler
31661.61,7042.29,4028.54,7724.71,7826.88,49962.85,strahler
22049.3,5026.15,3405.77,6382.35,6744.94,50086.67,strahler
24824.77,3591.57,2861.39,5462.18,7765.04,50198.1,strahler
27108.59,3052.29,2597.69,4890.59,6292.02,50298.39,strahler
29517.83,2802.14,2462.35,4643.29,10342.02,50388.65,strahler
31675.05,2298.57,2241.17,4089.15,10000.01,50469.89,strahler
24230.53,2013.29,2077.09,3696.57,7175,50530.6,strahler
24967.27,1868.14,2093.88,3626.79,8719.9,33644.3,strahler
20413.14,1740.07,2158.69,3650.61,12968.01,19219.15,strahler
20447.82,1759.26,2248.22,3743.85,15113.31,13139.07,strahler
15610.41,1801.14,2426.5,3904.96,17046.18,9682.04,strahler
14037.7,1869.02,2624.25,4106.87,20300.26,8238.02,strahler
14549.53,1938.12,2743.12,4281.68,23330.83,10045.72,strahler
18214.68,2008.61,2804.91,4805.11,26117.85,14161.24,strahler
21513.31,2053.45,2809.32,5142.2,28626.16,17865.22,strahler
24482.08,2095.3,2814.49,5216.88,30883.65,21198.8,strahler
27153.97,4076.47,2805.24,7412.59,30627.33,24199.02,strahler
29558.67,7373.63,2825.52,8929.63,28358.66,26899.21,strahler
31722.9,8930.16,2876.67,8479.82,29407.7,29329.39,strahler
33670.71,9092.35,3223.1,12751.93,31587.03,31516.55,strahler
35423.74,13240.71,8020.89,16596.84,33548.42,33485,strahler
37001.46,17036.74,12338.9,20057.26,35313.68,35256.6,strahler
38421.42,20035.27,16225.11,23171.63,36902.41,36851.04,strahler
39699.37,14781.13,19722.7,25974.57,38332.27,29969.52,strahler
40849.54,12432.57,22870.53,28497.21,39619.14,24468.26,strahler
31604.77,10738.28,25703.58,29164.09,40777.33,21240.63,strahler
28494.89,10720.14,28253.32,31367.78,36270.66,21240.67,strahler
20784.94,11112.53,26473.16,33351.1,25514.83,19176.33,strahler
13742.97,10778.26,17014.58,31343.55,16284.92,13904.67,strahler
8118.99,7407.63,10951.79,24533.77,10500.46,9668.83,strahler
6702.49,7473.97,11514.91,27096.3,10770.21,10098.45,strahler
6748.04,7793.37,12392.22,28994.27,11242.39,10533.1,strahler
6995.64,8310.13,13445.5,31214.94,11718.05,11033.69,strahler
7058.37,8460.82,15260.05,33181.64,11113.03,11134.52,strahler
6460.19,7668.41,16730.54,33787.78,9818.51,10153.76,strahler
6820.57,7679.87,20177.59,35529.1,13956.76,8871.38,strahler
11258.61,8380.68,23279.93,37096.29,17681.19,13104.34,strahler
15252.85,12465.91,26072.03,38506.76,21033.17,16914.01,strahler
18847.66,16339.42,28584.93,39776.19,24049.95,20342.71,strahler
22083,19825.58,30846.54,40918.67,26765.05,23428.54,strahler
24994.8,22852.12,32881.98,41946.9,29208.65,26205.78,strahler
27615.41,25005.01,27044.99,42872.31,31407.88,28705.3,strahler
29973.97,27624.61,27077.59,43705.18,33387.19,30954.87,strahler
32096.67,29982.25,24592.3,44454.76,35168.57,32979.48,strahler
34007.1,32057.42,20874.15,45129.39,36771.81,34801.64,strahler
35726.5,33119.98,21690.03,45736.55,38214.73,36441.57,strahler
37273.94,33838.68,15894.52,46283,39513.36,37917.51,strahler
38666.65,31868.34,16293.16,46774.8,40682.12,39245.86,strahler
39920.08,18808.67,9504.08,26844.9,41734.01,40441.38,strahler
41048.18,10367.83,5982.04,15706.95,42680.71,41517.34,strahler
42035.56,6175.92,4090.52,9769.97,27509.86,42452.3,strahler
35806.78,3922.96,3062.76,6661.49,18616.43,43327.17,strahler
36272.2,2926.48,2616.88,5324.24,11694.21,44114.56,strahler
36909.58,2675.24,2558.94,4867.62,8187.11,44823.2,strahler
22198.79,2697.42,2586.35,4873.56,6572.55,44836.38,strahler
14985.9,2697.77,2597.21,4712.28,5477.78,27048.69,strahler
11577.45,2646.39,2631.29,4728.55,5188.89,18296.85,strahler
10898.72,2606.69,2645.56,4694.28,5089.94,20037.76,strahler
14857.05,2522.35,2633.78,4714.85,6665.05,23154.08,strahler
18491.45,2495.67,2635.3,4842.46,11118.64,25958.77,strahler
21762.4,2380.84,2635.67,4879.12,15126.88,28483,strahler
24706.26,2373.92,2607.84,4829.06,17683.29,30754.79,strahler
27355.73,2285.96,2490.92,4638.03,14080.65,32799.41,strahler
29740.26,2300.96,2503.63,4704.73,17322.08,34639.57,strahler
31886.33,2307.77,2528.56,4743.35,17516.07,36295.71,strahler
33817.8,2333.09,2538.11,4762.72,12831.04,37786.24,strahler
35556.12,2368.68,2534.55,4772.95,13002.93,39127.72,strahler
37120.6,2333.34,2485.28,4687.47,13223.04,40335.05,strahler
38528.64,2620.41,2344.64,5716.23,17020.83,41421.64,strahler
39795.88,3348.97,2590.97,10197.1,20438.85,42399.58,strahler
40936.39,8134.17,7451.98,14297.49,23515.07,43279.72,strahler
41962.85,12440.85,11826.88,17987.84,26283.66,44071.85,strahler
42886.67,16316.87,11828.79,21309.16,28775.39,44784.76,strahler
43718.1,19805.28,15765.11,24298.34,31017.95,45426.39,strahler
44466.39,22944.85,19308.7,26988.61,33036.25,46003.85,strahler
45139.85,25770.46,22497.93,29409.85,34852.73,46523.57,strahler
45745.97,28313.52,25368.24,31588.96,36487.55,46991.31,strahler
46291.47,30602.26,27951.51,33550.16,37958.9,47412.28,strahler
46782.42,32662.14,30276.46,35315.25,39283.11,47791.15,strahler
47224.28,34516.02,32368.91,36903.82,40474.9,48132.13,strahler
47621.96,36184.52,34252.12,38333.54,41547.51,48439.02,strahler
47979.86,37686.17,35947.01,39620.28,42512.86,48715.22,strahler
48301.98,39037.65,37472.41,40778.35,43381.67,48963.8,strahler
48591.88,40253.99,38845.26,41820.62,44163.61,49187.52,strahler
48852.79,41348.69,40080.84,42758.66,44867.35,49388.87,strahler
49087.61,42333.92,41192.85,43602.89,45500.71,49570.08,strahler
49298.95,43220.63,42193.67,44362.71,46070.74,49733.17,strahler
49489.16,44018.67,43094.41,45046.53,46583.77,49879.96,strahler
49660.34,44736.9,43905.07,45661.98,47045.49,50012.06,strahler
49814.41,45383.31,44634.66,46215.88,47461.04,50130.96,strahler
49953.07,45965.08,45291.29,46714.39,47835.04,50237.96,strahler
50077.86,46488.67,45882.26,47163.05,48171.64,50334.26,strahler
50190.17,46959.91,46414.14,47566.85,48474.57,50420.94,strahler
50291.25,47384.02,40286.07,47930.26,48747.22,50498.94,strahler
50382.23,33107.51,22094.04,48246.34,48992.6,50569.15,strahler
50464.11,21054.75,13763.02,47864.67,49213.44,50632.33,strahler
50537.8,11968.38,8627.01,27899.34,49412.19,50689.2,strahler
50604.12,7271.19,6015.5,16762.17,49591.07,50740.38,strahler
50663.8,4735.59,4708.25,10998.08,49752.07,43148.69,strahler
50717.52,3308.8,3889.13,7640.54,49896.96,24639.85,strahler
31731.76,2345.9,2974.06,5100.27,50027.36,13765.92,strahler
18893.38,1520.45,2117.53,3267.64,50144.73,7651.96,strahler
15135.19,1048.22,2178.18,2419.82,50250.35,4597.48,strahler
15170.37,793.11,2730.96,2161.91,50345.42,2992.24,strahler
15437.13,619.06,4981.86,3131.42,50430.98,2836.12,strahler
15345.57,516.53,6992.38,5149.58,45843.49,4053.71,strahler
13192.78,607.68,8684.44,7313.72,40142.75,5594.34,strahler
12394.89,787.31,10524,9840.75,39272.87,8149,strahler
12547.5,1184.58,12727.1,12743.37,39980.48,10895.9,strahler
13202.15,1645.42,14758.19,16514.14,41102.53,14926.41,strahler
15037.74,3347.98,17044.37,19982.82,42112.38,18553.87,strahler
18654.06,6028.28,17416.83,23104.64,43021.25,21818.58,strahler
21908.76,6929.75,20521.65,25914.27,43839.22,24756.83,strahler
24837.98,5320.38,18532.83,26558.15,44575.4,27401.24,strahler
27474.28,4607.19,11926.41,19915.57,45237.96,29781.22,strahler
29846.95,4739.17,10959.21,23044.11,45834.26,31923.19,strahler
31982.36,8187.25,13198.99,25859.8,46370.94,33850.97,strahler
33904.22,12488.63,15507.49,28393.92,46853.95,35585.98,strahler
35633.9,16346.36,19076.84,30674.63,47288.66,37147.48,strahler
37190.61,15724.68,22289.25,32727.26,47679.89,38552.83,strahler
38591.65,11150.84,25180.43,34574.64,48032,39792.85,strahler
39852.58,6652.42,27782.49,36237.27,48348.9,37203.42,strahler
40987.43,5013.21,30124.33,37733.64,48634.11,38603.18,strahler
42008.79,5576.19,32232,39080.38,48890.8,39862.96,strahler
42928.01,8394.07,34128.9,40292.44,49121.82,40996.76,strahler
43755.31,10169.16,35836.11,41383.3,49329.74,42017.19,strahler
44499.88,11795.75,37372.6,42365.07,49516.86,42935.57,strahler
45170,12629.27,38755.44,43248.66,49685.28,43762.12,strahler
45773.1,15729.44,39930.19,44043.89,49836.85,44506.01,strahler
46315.89,13396.72,20926.6,23927.95,26923.93,45175.51,strahler
25692.44,7431.36,11017.3,12845.47,14331.46,45778.06,strahler
13476.22,4187.68,5925.65,7049.24,7807.23,26682.53,strahler
7366.11,2556.84,3486.32,4328.62,4741.62,15903.26,strahler
4845.06,2012.42,2564.66,3535.31,3760.31,11511.63,strahler
4261.53,2001.21,2424.33,3586.18,3788.58,12363.67,strahler
4460.27,2173.79,2559.7,3877.76,4053.72,16247.4,strahler
9121.05,6555.01,3693.83,8610.08,5215.25,19742.76,strahler
13329.04,11019.61,8444.54,12869.18,9813.82,22888.58,strahler
17116.24,15037.75,12720.19,16702.36,13952.54,25719.83,strahler
20061.32,18654.07,16568.27,20152.22,15420.79,23546.41,strahler
15969.16,18752.57,20007.34,23257.1,11823.89,17347.21,strahler
10060.58,12236.28,13026.17,23034.05,8550.45,11844.1,strahler
6589.79,9561.14,8511.59,20532.02,5816.22,7954.05,strahler
4140.89,6029.07,7979.29,16807.51,3758.61,5018.53,strahler
2593.95,3761.54,8868.26,17113.16,2426.81,3197.76,strahler
1740.97,2682.77,11030.74,18888.34,1771.4,2333.88,strahler
1933.58,3980.29,15047.76,22119.61,6378.56,5043.79,strahler
6860.32,8702.36,18663.09,25027.75,10860.81,9659.51,strahler
11294.39,12952.22,21916.88,27645.07,14894.83,13813.66,strahler
368.59,1881.88,4875.93,4117.03,763.98,454.47,atelier
398.33,2108.79,5330.94,4343.82,802.78,467.82,atelier
415.4,1841.4,5433.34,4370.14,838.5,477.94,atelier
431.56,1872.16,5741.81,4534.13,871.65,487.84,atelier
446.4,1860.58,6066.63,4677.61,905.58,497.96,atelier
536.06,2232.92,8135.26,5991.55,1671.63,645.86,atelier
1096.26,2773.53,9642.14,7107.8,3863.96,1167.08,atelier
1839.83,3114.28,10138.02,7545.12,5796.67,1695.17,atelier
2478.35,3174.35,7594.01,6173.56,6925.4,2136.65,atelier
2872.31,2545.17,4428.01,3922.78,7074.16,2422.29,atelier
2487.66,1484.09,2681,2378.89,4053.08,2257.14,atelier
1516.83,916.04,1809,1616.94,2486.54,1875.07,atelier
1017.41,647.52,1363,1228.47,1681.27,1284.54,atelier
738.71,504.76,1144,1033.74,1278.14,927.77,atelier
589.85,431.38,1016,918.37,1051.57,700.38,atelier
507.43,406.19,976.5,887.68,941.78,693.19,atelier
483.71,451.97,979.45,896.32,890.39,774.47,atelier
486.14,695.67,988.11,935.88,871.2,959.43,atelier
498.43,1126.71,993.49,1241.9,854.6,1328.38,atelier
667.39,1713.14,1154.34,2120.81,873.94,1881.04,atelier
1233.45,2189.42,2540.11,3447.23,1848.24,2289.04,atelier
1897.9,2084.71,4497.9,4149.3,3898.52,2275.02,atelier
2370.21,1412.36,6361.51,4604.57,5894.67,1687.51,atelier
2516.69,893.18,7693.66,4081.29,7156.5,1087.26,atelier
1786.85,629.59,8664.49,3250.14,7528.55,789.13,atelier
1199.92,506.29,8494.75,2313.57,4794.78,636.56,atelier
916.46,464.15,9255.87,2391.41,4621.39,585.28,atelier
873.23,478.03,11083.28,3174.47,5403.65,558.14,atelier
1029.81,665.43,12940.25,4508.53,6862.18,589.43,atelier
1473.93,1118.99,14329.13,5949.27,8702.56,792.78,atelier
1989.33,1547.99,15583.82,7125.15,10242.41,962.81,atelier
2419.9,1788.29,16534.74,7750.53,11534.77,1041.33,atelier
2557.11,1499.64,16589.66,7339.77,12326.89,904.16,atelier
2579,879.82,14363.83,5753.88,12738.6,711.58,atelier
2606.5,617.41,14688.65,5890.99,13267.64,719.52,atelier
2810.25,768.87,15615.38,6709.6,14116.08,941.47,atelier
3377.42,1196.78,16413.14,7609.94,14904.77,1509.82,atelier
3873.18,1692.1,17350.13,8616.24,15277.99,2059.64,atelier
4342.56,2119.29,18154.32,9494.72,15576.39,2580.48,atelier
4718.11,2511.36,18782.68,10269.05,15465.2,3040.03,atelier
5088.9,2719.43,19283.61,10790.84,15721.98,3398.33,atelier
5448.31,2836.99,19712.35,11334.26,15855.58,3707.39,atelier
5761.48,3011.89,19806.12,11821.13,15932.32,3989.15,atelier
6067.13,3064.9,19057.56,11839.82,16518.39,4150.14,atelier
6251.71,2110.95,13787.78,7803.91,16834.45,3664.07,atelier
4892.36,1200.97,7343.89,4283.95,11960.22,2185.03,atelier
2722.68,748.49,4094.94,2519.98,6460.61,1293.52,atelier
1595.34,523.24,2461.97,1637.49,3669.81,851.76,atelier
1069.67,415.62,1633.99,1198.24,2556.9,851.38,atelier
1155.6,360.31,1216.49,1000.12,2897.11,1079.24,atelier
