violet;blue;green;yellow;orange;red;label
5202.28;2895.5;7069.99;9309.36;7766.3;2565.79;atelier
5295.15;2689.25;7790.29;9536.03;8647.47;2462.4;atelier
5366.34;2723.93;8440.06;9638.02;9492.12;2141.7;atelier
5412.3;2599.96;8754.95;9216.51;10164.91;2145.13;atelier
5471.77;2486.48;9008.16;8623.76;10844.92;2045.06;atelier
5483.1;2101.74;8434.08;7159.38;11283.62;1903.53;atelier
4939.55;1541.87;7392.54;5859.69;11598.06;1727.27;atelier
4590.77;1300.44;7126.77;5044.84;11911.36;1522.13;atelier
3938.89;997.22;7443.69;5030.92;12248.82;1243.57;atelier
3987.2;1050;7852.02;5284.13;12767.14;1331.61;atelier
4178.18;1253.8;8182.32;5639.72;13256.62;1560.25;atelier
4385.96;1491.42;8462.99;5862.85;13700.06;1862.22;atelier
4583.46;1615.67;8869.49;5966.36;14112.65;2137.3;atelier
4761.42;1697.81;9608.74;6345.92;14301.09;2375.07;atelier
4919.58;1795.33;10261.47;6826.73;13986.04;2577.46;atelier
5058.22;1811.89;10789.62;7038.86;14212.84;2607.32;atelier
5168.5;1717.45;11180.36;7441.07;13592.92;2736.99;atelier
5267.45;1910.7;11029.68;7840.66;11104.46;2906.79;atelier
5348.8;2161.43;10933.84;8206.6;10451.23;3037.51;atelier
5448.32;2324.89;11143.26;8510.54;10789.51;3059.36;atelier
5530.69;2360.4;11371.53;8694.48;11320.46;2704.68;atelier
5576.02;2295.2;11501.38;8767.13;11870.41;2380.34;atelier
5597.22;2182.1;11563.84;8430.57;12427.57;1975.67;atelier
5359.61;1775.55;10230.42;7216.28;12802.41;1765.83;atelier
5026.8;1471.27;8656.71;6144.14;13035.57;1689.92;atelier
4686.9;1250.14;7493.35;5490.57;13236.21;1693.53;atelier
4567.95;1220.07;6813.18;5238.79;13462.59;1723.47;atelier
4431.98;1170.03;6892.76;5241.51;13745.53;1737.63;atelier
4467.88;1215.13;7205.78;5462.16;14098.78;1818.96;atelier
4628.89;1393.42;7705.5;5774.54;14444.3;2047.97;atelier
4807.8;1492.48;8210.95;5934.29;14759.47;2320.67;atelier
4970.52;1549.03;8952.16;6220.56;14938.32;2538.5;atelier
5110.87;1634.73;9650.04;6678;14396.16;2704.95;atelier
5230.08;1819.85;10046.64;7187;12537.08;2862.36;atelier
5336.07;1997.57;10365.17;7617.2;12201.54;2954.62;atelier
5424.97;2147.01;10585.56;7999.88;11663.77;3046.36;atelier
5490.37;2349.21;10069.78;8317.39;9864.38;3170.62;atelier
5527.13;2551.49;9603.39;8550.65;9149.19;3269.26;atelier
5594.32;2655.14;9771.75;8745.89;9525.17;3284.03;atelier
5693.69;2667.43;10243.87;8926.4;10368.95;2782.02;atelier
5773.82;2502.71;10573.99;8696.2;11257.26;2160.51;atelier
5484.91;1827.86;10712.79;8026.1;11996.83;1800.25;atelier
5507.62;1708.43;10478.89;7269.55;12521.35;1642.13;atelier
5093.31;1350.71;7743.95;5903.77;12427.17;1685.61;atelier
4823.65;1185.86;6970.47;5240.89;12573.86;1648.81;atelier
4522.83;1027.93;7129.83;4910.94;12824.77;1291.4;atelier
4265.91;940.46;6888.41;4549.47;13006.49;1297.96;atelier
4134.96;915.73;6923.27;4565.12;13268.64;1335.97;atelier
4215.56;958.26;6141.64;4586.01;13462.98;1477.27;atelier
4382.3;1051.13;5738.32;4509.01;13661.38;1719.84;atelier
4541.07;1124.42;5761.39;4376.5;13904.44;2009.46;atelier
4699.47;1175.58;5921.05;4386.25;14212.6;2274.31;atelier
4859.92;1215.42;6317.94;4494.23;14583.44;2513.08;atelier
5010.43;1235.48;6727.05;4514.2;14924.39;2658.37;atelier
5111.98;1001.24;7243.24;4395.1;15246.36;2667.04;atelier
