violet,blue,green,yellow,orange,red,label
22068.9,44844.87,18109.33,45224.63,16421.92,45022.78,strahler
24982.11,45480.48,21418.5,45822.26,19899.83,45640.6,strahler
27604,46052.53,24396.75,46360.14,23029.95,46196.64,strahler
29963.69,46567.38,27077.17,46844.23,25847.05,46697.08,strahler
32087.42,47030.75,29489.55,47279.91,28382.45,47147.47,strahler
33998.78,47447.77,31660.7,47672.01,30664.3,47552.82,strahler
35719,47823.1,33614.73,48024.91,32717.97,47917.64,strahler
37267.2,48160.89,35373.35,48342.52,34566.27,48245.98,strahler
38660.58,48464.9,35806.72,48628.37,36229.75,48541.48,strahler
39914.62,48738.51,23138.36,48885.63,36650.37,48807.43,strahler
41043.26,48984.76,15021.68,49117.17,23187.19,49046.79,strahler
42059.03,49206.38,10882.34,49325.55,15542.59,49262.21,strahler
42973.23,49405.84,9922.17,49513.1,11819.8,49456.09,strahler
43796.01,49585.36,13568.55,49681.89,15252.72,49630.58,strahler
44536.51,49746.92,17331.8,49833.8,18847.55,49787.62,strahler
45202.96,49892.33,20718.72,49970.51,22082.89,49928.96,strahler
45802.76,50023.19,23766.94,50093.56,24994.7,50056.16,strahler
46342.58,50140.98,26510.35,50204.3,27615.33,50170.65,strahler
46828.43,50246.98,28979.41,50303.97,29973.9,50273.68,strahler
47265.69,50342.38,31201.57,50393.67,32096.6,50366.41,strahler
47659.22,50428.25,33201.51,50474.41,34007.04,50449.87,strahler
48013.4,46808.12,35001.46,50547.07,35726.44,50524.98,strahler
48332.16,26373.56,36621.41,50612.46,37273.89,50592.58,strahler
48619.04,15973.28,38079.37,50671.32,38666.6,50653.42,strahler
48877.24,13471.64,39391.54,50724.29,39920.05,50708.18,strahler
49109.61,10465.32,29904.27,50761.06,41048.14,50757.46,strahler
49318.75,9857.16,19774.14,34960.03,41968.83,50801.82,strahler
49505.98,9528.08,13966.07,24722.52,28214.91,50841.74,strahler
33094.99,9362.04,10657.03,18561.76,20278.96,50877.66,strahler
34544.39,9612.84,8868.02,16892.88,15599.48,50910,strahler
36210.05,13771.65,7706.01,16801.94,12560.74,50939.1,strahler
28527.03,17514.59,6799.5,15717.97,10530.87,50965.29,strahler
21372.01,20883.23,6404.25,15804.07,9141.43,50988.86,strahler
15513.01,23915,6445.23,16062.47,8336.22,51010.07,strahler
12302.5,26643.6,6505,16820.32,7896.11,51029.17,strahler
12794.65,29099.34,6763.2,20258.39,8035.9,51046.35,strahler
16250.39,31309.51,7024.88,23352.65,8241.11,51061.82,strahler
19745.45,33298.66,10016.29,26137.48,9000.1,51075.73,strahler
22891,35088.89,14134.77,28643.83,13220.19,51088.26,strahler
25722,36700.1,17841.39,30899.55,17018.27,51099.53,strahler
28269.9,38150.19,21177.35,32929.69,20436.54,51109.68,strahler
30563.01,39455.27,24179.71,34756.82,23512.99,39611.34,strahler
32625.41,25833.64,26881.84,36401.24,26281.79,21371.17,strahler
20689.2,13484.82,29313.75,37881.21,28773.71,11779.09,strahler
20953.38,7508.91,31502.48,39213.19,31016.44,7498.04,strahler
23978.05,6116.95,33472.33,40411.98,33034.89,6961.02,strahler
26700.34,6811.36,35245.19,41490.88,34851.5,7155.62,strahler
29150.41,7424.12,36840.78,42461.89,36486.45,11234.26,strahler
31355.46,11801.81,38276.8,43335.8,37957.91,15230.93,strahler
33340.01,15741.73,39569.22,44122.32,39282.21,18827.94,strahler
35126.11,19287.66,40695.1,44830.19,25727.11,22065.24,strahler
30174.06,22478.99,22481.05,45467.27,14976.05,24978.82,strahler
16676.03,25351.19,13325.53,46040.64,9533.03,26803.53,strahler
10866.01,27936.17,9338.26,46556.68,7615.51,26651.77,strahler
8086.01,30262.65,7663.63,36572.34,6805.26,29106.69,strahler
8074,32356.49,5959.82,31092.17,5684.63,31316.12,strahler
12373.1,34240.94,4696.91,33103.05,5124.81,33304.6,strahler
16255.89,35936.94,4145.45,34912.85,5310.83,35094.25,strahler
19750.4,37463.35,4159.71,36541.66,8650.45,36704.92,strahler
22895.46,38837.12,4888.54,38007.6,12905.5,38154.53,strahler
25726.01,40073.51,8718.48,39326.94,16735.05,39459.18,strahler
28273.51,41186.26,12860.04,40514.34,20181.65,40633.36,strahler
30566.26,41230.73,16431.13,41583.01,23283.58,41690.13,strahler
32629.73,27504.37,12437.07,42544.81,26075.32,42641.21,strahler
34486.86,16233.18,8937.53,27404.41,28587.89,43497.19,strahler
36158.27,10336.09,7276.77,18850.7,30849.2,44267.58,strahler
37662.55,7426.05,6435.88,14186.85,25193.1,44960.92,strahler
37971.29,6021.52,5973.94,11722.93,17609.05,34110.96,strahler
27697.65,5341.26,5383.97,10055.96,12846.52,26548.98,strahler
19144.83,4992.63,4663.49,8432.98,9856.26,22592.49,strahler
13161.91,4549.82,4215.24,7180.99,8071.13,20237.25,strahler
9457.46,4290.41,4006.62,6337,7056.07,18648.12,strahler
7412.73,4169.2,3970.31,5913,6578.53,17940.06,strahler
6509.86,4176.58,3993.68,5961.8,6609.38,19687.36,strahler
6541.58,4257.33,4082.71,6168.42,6722.14,22838.72,strahler
7736.92,5286.09,4149.64,6600.58,6731.23,25674.95,strahler
12083.33,9877.58,4156.18,9126.82,6355.11,28227.55,strahler
15995.1,14009.93,4189.86,13334.24,6629.7,30524.89,strahler
19515.69,17729.03,4346.27,17120.91,9614.63,32592.5,strahler
22684.22,21076.23,8980.25,20528.92,13773.27,34453.35,strahler
25535.9,24088.71,13202.32,23596.13,17516.04,36128.12,strahler
28102.41,26799.94,17002.19,26356.61,20884.54,37635.41,strahler
30412.26,27332.44,20422.07,28841.05,23916.18,38991.96,strahler
32491.14,22400.72,23499.96,31077.05,26644.66,40212.87,strahler
34362.12,23263.85,26270.07,33089.44,29100.3,41311.68,strahler
36046.01,25740.46,28690.56,34900.6,31310.37,42300.61,strahler
37561.51,28286.52,30941.6,36530.64,33299.43,43190.65,strahler
38925.46,30577.96,32967.54,37997.67,35089.58,43991.69,strahler
40153.01,32640.27,34360.89,39318,36700.73,44712.62,strahler
