violet,blue,green,yellow,orange,red,label
19930.64,20910.18,16749.09,21510.74,17251.41,32627.72,strahler
23057.67,23939.26,20194.28,24479.76,20646.37,34485.05,strahler
25872.01,26665.43,23294.95,27151.89,23701.83,36156.64,strahler
28404.91,29118.99,26085.55,29556.8,26451.75,37661.08,strahler
30684.51,31327.19,28597.1,31721.22,28926.67,39015.07,strahler
32736.16,33314.57,30857.49,33669.19,31154.1,40233.66,strahler
34582.64,35103.21,32891.83,35422.37,33158.79,41330.4,strahler
36244.48,36712.99,34722.75,37000.24,34963.01,42317.46,strahler
37740.13,38161.79,36370.58,38420.32,36586.81,43205.82,strahler
39086.22,39465.71,37853.62,39698.39,38048.23,44005.33,strahler
40297.7,40639.24,39188.36,40848.65,39363.5,44724.9,strahler
41388.03,41695.42,40389.62,41883.88,40547.25,45372.51,strahler
42369.33,42645.98,41470.76,42815.59,41612.63,45955.36,strahler
43252.5,43501.48,42443.78,43654.14,42571.46,46479.92,strahler
390.71,700.74,714.83,1159.2,446.28,416.23,gang
419.44,740.66,723.95,1226.28,480.56,457.01,gang
452.59,778,737.55,1289.15,501.3,485.21,gang
492.03,805.6,568.78,1293.44,440.15,535.69,gang
513.13,816.84,434.89,1177.72,381.07,578.72,gang
533.12,820.85,478.3,1215.65,432.67,614.25,gang
579.91,814.93,519.27,1253.78,474.1,646.92,gang
613.02,817.03,602.24,1316.4,554.79,673.63,gang
668.61,792.02,704.22,1383.76,653.31,694.97,gang
711.55,795.02,730.7,1413.39,656.38,719.07,gang
716.7,810.11,737.03,1428.05,553.69,740.06,gang
716.93,822.1,571.01,1358.02,434.35,758.16,gang
646.96,821.55,390.51,1002.01,323.67,767.74,gang
557.48,656.78,315.75,669.51,271.84,740.87,gang
480.74,464.39,284.38,463.75,257.42,655.94,gang
412.87,324.69,272.19,371.38,259.18,598.47,gang
425.68,300.35,275.87,390.24,278.36,606.22,gang
467.12,311.01,341.28,451.31,402.92,607.9,gang
515.1,251.51,410.05,469.48,578.23,531.95,gang
9079.41,9973.32,11492.87,12144.12,10661.53,11250.04,strahler
13291.57,14096.09,15463.69,16049.81,14715.47,15245.13,strahler
17082.52,17806.58,19037.42,19564.93,18364.03,18840.72,strahler
20494.36,21146.02,19674.17,22728.53,21647.73,22076.75,strahler
23565.03,24085.72,15806.59,25575.78,24603.05,24989.17,strahler
26328.62,16057.86,12394.29,21473.89,27262.84,27610.35,strahler
28815.86,11553.93,10974.65,20214.45,29656.66,29969.42,strahler
31054.37,9236.46,9330.32,21234.7,31811.09,32092.58,strahler
33069.03,13432.92,8288.16,24231.33,33335.68,34003.42,strahler
34882.23,17209.73,7724.58,26928.3,23296.84,35723.17,strahler
36514.1,20608.85,8370.62,29355.57,18876.42,37270.96,strahler
37982.8,23668.07,12653.66,31540.11,22108.88,38663.96,strahler
39304.62,26421.36,16508.4,33506.19,25018.09,39917.66,strahler
40494.26,28800.82,19977.66,35275.67,27636.38,41046,strahler
41564.93,31012.94,22026.99,36868.21,29992.84,42061.5,strahler
42528.54,23536.47,24938.79,38301.49,32113.66,42975.45,strahler
737.38,609.15,1238.52,1472.41,1122.47,586.06,gang
751.64,657.33,1177.26,1529.27,1070.24,612.75,gang
762.68,699.2,914.13,1539.84,950.62,648.58,gang
748.34,731.48,797.06,1550.96,904.31,679.32,gang
772.4,761.63,674.53,1517.98,914.88,710.19,gang
789.26,783.77,492.77,1274.49,872.44,735.87,gang
700.63,703.88,367.38,996.74,708.72,754.28,gang
715.57,726.6,356.19,1009.47,712.15,775.15,gang
726.51,752.44,365.87,1049.32,618.57,793.44,gang
727.96,779.39,421.59,1122.49,529.79,806.19,gang
749.16,795.65,629.43,1236.24,638.21,823.67,gang
794.05,797.39,855.58,1325.52,846.59,839.11,gang
841.74,825.25,986.33,1415.07,1078.03,842.6,gang
886.77,853.22,1085.99,1518.16,1242.83,838.8,gang
929.59,863.9,1229.59,1594.84,1325.34,843.22,gang
