violet;blue;green;yellow;orange;red;label
211.26;375.44;1417.1;891.47;540.42;203.02;atelier
233.53;390;1444.39;947.73;595.18;236.22;atelier
271.88;445.1;1917.55;1409.05;675.36;284.39;atelier
418.09;1105.79;4922;3546.65;1957.23;718.55;atelier
1396.58;1634.61;5385.1;3836.68;4010;1319.1;atelier
1540.42;1009.3;3270.05;2391.84;3294.5;976.05;atelier
1019.21;676.65;2191.02;1634.92;2181.75;694.02;atelier
702.11;486.33;1582.01;1193.46;1531.88;515.01;atelier
507.55;370.16;1232.01;926.73;1152.44;407.01;atelier
414.28;312.58;1154.5;850.87;1046.22;388.5;atelier
415.15;312.72;1188.45;863.68;1083.1;393.05;atelier
436.33;318.75;2769.41;1074.01;2592.69;403.65;atelier
829.6;343.38;5263.07;2127.81;5027.02;503.88;atelier
1683.14;667.34;6526.76;3803.03;6292.32;1065.79;atelier
2321.63;1420.5;4365.38;4345.03;4071.66;1803.31;atelier
1949.81;1816.95;2875.19;3079.01;2619.33;2082.98;atelier
1433.91;2052.06;2138.09;3079.61;1896.66;2447.08;atelier
1696.42;2615.05;2413.89;4032.65;2124.5;3042.98;atelier
2446.97;3020.15;4269.8;5391.18;3958.75;3214.08;atelier
2979.88;2439.57;6496.92;5830.07;6215.07;2180.54;atelier
8138.48;3728.92;4192.49;6347.67;7136.03;11097.11;strahler
12413.64;3690.96;4953.45;7905.8;11542.53;15107.5;strahler
16292.37;6508.96;9578.2;12235.32;15508.37;18716.85;strahler
19783.24;8680.57;12935.98;16131.89;19077.64;21965.27;strahler
22925.01;7120.28;10027.99;14115.44;21840.08;24663.64;strahler
23197.21;6686.64;8077.5;12577.22;16142.54;24060.82;strahler
19405.6;6464.82;6816.25;11163.61;12615.77;23208.91;strahler
16267.8;6240.91;6093.12;10453.81;10807.88;23131.96;strahler
16699.72;6280.62;6203.11;10676.02;11058.1;24329.26;strahler
20149.85;6141.81;6303.1;11002.92;15072.39;27016.43;strahler
23254.96;6172.93;10045.79;15022.73;18685.25;29434.89;strahler
26049.57;9559.74;14161.31;18640.56;21936.82;31611.5;strahler
28564.71;11724.66;17865.28;21896.6;24863.24;33570.45;strahler
30828.34;12267;21198.85;24827.04;27497.01;35333.5;strahler
32865.6;7864.5;24199.07;27464.43;29867.41;36920.25;strahler
34699.14;5369.75;26899.26;29838.09;32000.77;38348.33;strahler
36349.33;4415.87;29329.43;31974.38;33920.79;39633.6;strahler
37834.5;4208.94;31255.29;33897.04;35648.81;40790.34;strahler
39171.15;3972.47;18272.65;20876.02;37204.03;30102.17;strahler
29908.58;3411.73;11108.32;13240.51;38518.23;18595.09;strahler
