violet,blue,green,yellow,orange,red,label
1221.28,517.22,694.17,940.51,1078.16,1541.55,strahler
1056.14,394.11,585.08,747.25,1624.74,1057.77,strahler
1097.13,311.56,509.04,619.13,2519.57,783.89,strahler
1294.72,263.28,493.52,566.56,3729.71,809.5,strahler
1603.44,238.14,508.27,575.11,4949.54,997.25,strahler
1928.1,228.07,512.24,582.7,6103.39,1300.72,strahler
2363.09,229.86,516.12,599.33,7364.05,1921.35,strahler
2872.18,239.98,527.21,626.39,7712.34,2244.32,strahler
3294.86,268.58,566.69,706.15,6513.17,2942.28,strahler
4252.08,326.32,643.72,854.04,7148.85,4939.66,strahler
6438.17,432.19,833.75,1173.44,8268.37,5455.19,strahler
7207.75,631.77,1130.37,1650.59,8825.23,5873.47,strahler
10156.28,894.69,1447.93,2226.63,9312.61,9063.62,strahler
11862.85,1220.02,1779.14,2837.07,9082.3,11129.36,strahler
12378.36,1548.12,2057.43,3358.86,8398.65,11653.62,strahler
12550.93,1839.11,2302.18,3793.28,7892.33,12044.26,strahler
12207.96,2097.7,2501.16,4165.55,7431.66,12473.24,strahler
12223.97,2329.73,2680.15,4523.39,7300.33,13008.91,strahler
12316.97,2553.36,2845.03,4861.05,7322.7,14081.32,strahler
12406.87,2765.92,2994.23,5171.45,7357.63,17710.99,strahler
12526.98,2945.03,3124.61,5439.2,7381.87,21059.99,strahler
12597.88,3109.02,3242.95,5679.38,7402.78,24074.09,strahler
12748.6,3257.52,3353.65,5895.94,7432.3,26786.78,strahler
13001.14,3390.27,3454.19,6096.35,7460.77,29228.2,strahler
12610.07,3521.84,3503.87,6212.41,7253.39,26399.6,strahler
10818.53,3575.96,3519.08,6225.37,6638.69,20695.8,strahler
9298.77,3603.96,3521.47,6185.69,6274.85,17752.9,strahler
8393.38,3634.07,3454.74,6047.34,6015.42,16138.45,strahler
7484.19,3625.03,3335.37,5830.17,5765.71,15221.22,strahler
6986.6,3598.52,3089.18,5330.59,5300.86,14541.11,strahler
5594.3,3113.76,2648.59,4311.79,4387.43,12632.56,strahler
4214.65,2557.88,2166.8,3448.9,3488.71,16077.8,strahler
4589.88,2278.44,1685.9,2921.95,2566.36,19590.12,strahler
7167.1,3823.6,1429.95,4385.05,3728.72,22751.21,strahler
9610.79,5546.94,2365.45,9066.15,8475.95,25596.19,strahler
12385.01,9421.44,7131.91,13279.63,12748.45,28156.67,strahler
16144.01,13599.4,11468.02,17071.77,16593.71,30461.1,strahler
19649.71,17359.56,8410.01,20484.69,20054.44,32535.09,strahler
22804.83,20743.7,9929.21,23556.32,23169.09,34401.68,strahler
25644.45,23020.43,13690.09,26320.79,25972.28,36081.61,strahler
27208.41,25583.19,17133.88,28808.81,28495.16,37593.55,strahler
29279.26,20888.59,12900.94,30423.43,30765.74,38954.3,strahler
31471.43,11294.8,7429.47,17199.72,32116.76,40178.97,strahler
33283.69,6535.4,4681.73,10426.36,21273.88,41281.17,strahler
35075.42,4267.7,3294.37,7223.18,21162.94,42273.16,strahler
36687.98,3470.35,2585.18,7536.06,22053.75,43165.94,strahler
38139.28,6174.01,2141.59,9002.35,12831.37,43969.45,strahler
39445.45,10667.31,1855.8,9710.52,7502.19,44692.6,strahler
40587.41,14720.68,1728.4,13859.57,4777.09,45343.44,strahler
40865.56,18368.71,1679.2,11806.28,3472.55,45929.2,strahler
38137.78,21651.94,1648.6,11861.15,2833.77,46456.38,strahler
35056.89,24546.55,1650.94,8354.08,2569.89,46930.84,strahler
35430.2,26998.19,1660.45,6823.04,2536.44,47357.86,strahler
37007.28,27689.67,1677.9,5841.02,2558.1,47742.17,strahler
38426.65,18713.84,1715.51,5308.01,2844.39,48088.06,strahler
39704.08,11316.92,1797.66,5469.91,7672.25,48399.35,strahler
40853.78,7141.96,1914.99,5635.92,12025.12,48679.51,strahler
41888.5,4897.48,2054.99,6401.33,15942.71,48931.66,strahler
42819.75,3943.24,2290.29,7632.39,19468.54,49158.6,strahler
43657.87,3084.12,2502.27,7560.2,22641.79,49362.84,strahler
44412.19,2562.56,2664.54,6638.1,25497.71,42399.42,strahler
45091.07,2259.28,2904.28,6320.05,28068.03,36733.71,strahler
45702.06,2087.14,3143.36,5925.52,30381.33,23822.86,strahler
46251.96,2043.57,3245.72,5566.76,32463.3,15249.93,strahler
46746.86,2037.29,3560.15,5567.99,34337.07,10779.46,strahler
47192.28,2046.96,3889.23,5561.99,36023.46,8174.73,strahler
38815.14,2061.86,3985.51,5541.5,37541.21,7054.87,strahler
37966.07,2086.77,3998.86,5548.15,38907.19,6794.93,strahler
39283.96,2116.5,4019.37,5592.03,40136.58,7194.04,strahler
40475.66,2130.15,4090.44,5656.23,41243.02,8536.33,strahler
41548.2,2147.43,4119.89,5687.61,42238.82,8762.4,strahler
42513.48,2164.39,4111.95,5690.44,43135.03,7825.7,strahler
39275.74,2184.45,4112.95,5604.22,43941.63,7085.35,strahler
29949.87,2198.81,4088.48,5454.11,44667.57,6571.18,strahler
22845.94,2203.52,3936.24,5264.06,45251.41,6166.09,strahler
15924.97,2088.26,3654.62,4775.03,28271.71,5588.04,strahler
11675.48,1907.63,3323.31,4291.01,17633.35,5029.02,strahler
9417.24,1772.32,3091.65,3993.51,12146.68,4701.01,strahler
