violet;blue;green;yellow;orange;red;label
24.21;26.08;80.95;86.5;94.63;49.06;treppe
24.59;26.77;81.25;86.95;94.97;49.65;treppe
24.73;27.2;81.83;87.56;95.37;50.09;treppe
25.16;27.98;83.55;89.3;96.83;50.98;treppe
26.04;29.58;88.19;94.47;99.85;53.38;treppe
27.54;34.82;96.17;105.22;104.46;69.54;treppe
29.78;92.74;106.15;129.2;109.22;133.79;treppe
34.3;193.07;117.24;259.08;114.5;221.91;treppe
51.07;305.96;149.72;561.67;119.95;299.22;treppe
109.57;408.86;513.84;1008.31;282.75;373.5;treppe
199.41;496.58;988.36;1449.47;629.78;441.05;treppe
297.37;586.62;1357.32;1864.23;942.4;538.74;treppe
408.73;663.66;1657.59;2239.7;1382.96;664.97;treppe
523.26;719.99;1810.83;2495.13;1864.96;793.57;treppe
633.73;739.09;1831.55;2618.82;2270.97;918.61;treppe
736.56;643.05;1334.77;2243.91;2560.67;1029.95;treppe
819.3;414.02;906.89;1500.46;2695.6;1092.06;treppe
873.27;248.01;721.44;1053.23;2728.74;1151.15;treppe
914.75;186.51;643.22;859.61;2529.37;1224.64;treppe
945.17;170.75;591.11;712.31;1923.69;1296.67;treppe
20.01;16.83;229.35;127.49;89.59;32.35;treppe
23.61;22.44;658.32;359.64;105.83;36.41;treppe
56.25;72.5;1273.38;857.18;510.85;58.97;treppe
116.62;101.15;1838.65;1277.66;1149.66;80.37;treppe
228.46;150.63;2312.08;1700.49;1737.4;142.74;treppe
354.02;228.67;2507.27;2021.24;2349.56;291.76;treppe
461.41;315.6;1985.64;2159.22;2508.8;451.99;treppe
559.27;344.24;1068.32;1392.61;1742.4;617.39;treppe
575.15;222.62;609.66;779.8;1008.2;715.25;treppe
382.07;135.81;392.33;468.4;598.6;636.62;treppe
223.54;94.91;285.66;317.7;399.3;470.81;treppe
139.27;77.45;232.83;243.85;302.15;363.91;treppe
97.63;73.73;204.42;219.43;255.58;327.95;treppe
82.82;78.35;193.21;222.38;240.29;334.76;treppe
78.91;86.22;198.89;247.24;242.16;369.18;treppe
85.32;94.1;251.5;288.72;274.94;490.76;treppe
129.09;120.99;300.15;329.25;324.25;658.39;treppe
215.78;175.09;329.03;460.12;410.82;795.35;treppe
319.3;241.68;352.93;590.31;480.04;916.51;treppe
418.87;285.81;375.24;720.68;646.44;1014.26;treppe
518.18;314.03;408.21;886.51;843.89;1095.24;treppe
605.06;368.03;433.89;1029.86;977.7;1169.41;treppe
672.06;391.32;443.4;1068.37;1033.73;1244.87;treppe
733.55;422.29;456.26;1093.94;1010.87;1321.08;treppe
767.6;441.66;467.44;915.97;965.93;1400.18;treppe
785.24;445;473.49;679.98;942.47;1474.76;treppe
739.62;312;374.75;443.49;845.73;1498.48;treppe
607.31;184;272.87;297.25;609.87;1282.74;treppe
420.65;112.5;213.94;218.12;453.93;1107.87;treppe
272.33;76.25;176.97;175.56;356.97;854.94;treppe
193.66;58.62;149.98;154.28;289.98;611.47;treppe
141.33;49.31;132.49;143.14;233.99;409.23;treppe
104.67;43.16;126.75;141.07;201.5;291.12;treppe
95.33;39.08;130.77;133.54;185.75;301.91;treppe
91.07;48.51;301.24;211.56;231.88;66.95;gang
138.36;79.86;367.12;257.51;344.39;102.25;gang
164.63;111.37;447.4;316.96;450.15;133.13;gang
185.37;138.13;554.66;397.76;512.94;153.21;gang
234.73;156.72;656.5;466.78;553.44;168.59;gang
289.66;184.35;713.65;502.11;637.7;200.63;gang
310.59;211.31;790.18;564.3;734.43;221.47;gang
346.13;218.58;851.56;604.47;711.71;228.92;gang
369.32;239.52;869.91;618.72;769.74;251.33;gang
371.69;256.47;930.82;674.65;858.27;257.8;gang
410.42;281.02;959.64;646.32;830.13;282.02;gang
405.71;264.51;1030.47;681.99;870.52;292.12;gang
425.64;267.56;1052.82;699.89;944.87;275.06;gang
433.77;194.78;630.91;441.45;684.43;214.53;gang
262.89;133.89;436.46;326.22;414.72;139.26;gang
172.94;138.4;448.51;350.8;322.86;134.63;gang
185.95;153.76;536.86;419.62;394.07;146.27;gang
223.45;161.98;601.57;437.46;500.47;155.34;gang
235.51;186.19;682.12;499.71;546.52;183.41;gang
274.56;194.57;711.7;520.74;632.47;201.17;gang
282.9;213.51;777.23;574.47;645.52;217.65;gang
310.51;229.56;823.21;598.12;732.07;240.49;gang
327.86;240.9;873.19;639.31;733.46;244.24;gang
352.37;255.11;892.47;652.58;806.42;265.21;gang
361.14;262.7;946.62;692.32;806.57;261.61;gang
383.02;275.23;963.36;704.49;873.12;278.95;gang
390.22;279.41;1003.03;735.74;876.6;280.15;gang
405.9;287.47;1018.92;746.07;929.34;293.44;gang
412.71;293.12;1059.63;775.06;821.67;276.72;gang
431.44;309.21;1091.27;795.25;893.3;293.65;gang
463.29;283.1;1104.14;737.13;960.87;307.58;gang
490.96;246.55;1143.83;762.41;1010.19;320.22;gang
506.27;262.1;973.41;753.71;1010.97;332.8;gang
512.14;246.55;909.71;772.64;915.98;338.42;gang
427.57;257.29;964.64;783.17;972.49;323.21;gang
446.31;265.46;984.97;811.36;1027.94;319.61;gang
464.98;277.02;1019.27;840.22;1086.64;291.3;gang
461.49;257.51;1064.65;806.61;1106.08;299.17;gang
422.75;222.25;663.32;541.3;791.04;263.59;gang
287.37;142.63;469.66;377.15;483.02;167.79;gang
187.19;116.81;501.1;345.58;419.01;127.9;gang
173.09;134.63;518.09;400.52;421.31;139.01;gang
204.18;156.97;560.28;465.87;430.68;165.81;gang
214.17;184.67;654.95;492.88;538.91;174.73;gang
254.35;206.2;726.85;505.59;586.92;201.65;gang
285.41;217.18;765.67;565.13;683.03;215.39;gang
