violet,blue,green,yellow,orange,red,label
6585,2415.62,3472.74,6426.93,9969.02,9897.11,strahler
11046.6,2606.46,3691.76,7420.44,14092.22,14027.5,strahler
15062.04,2855.71,3994.79,8183.3,17803.1,17744.85,strahler
18675.93,3075.34,4258.61,8551.17,21142.89,21090.47,strahler
21928.44,3327.31,4388.15,8723.05,16575.94,24101.52,strahler
24855.69,3541.97,4465.43,8859.74,16902.95,26811.47,strahler
27490.22,3777.08,4525.89,9283.87,20332.75,29250.42,strahler
29861.3,4118.57,4470.44,9657.98,23419.58,31445.48,strahler
31995.27,5894.31,4617.2,13812.28,26197.72,33421.03,strahler
33915.84,5066.16,4080.1,10651.14,28698.05,35199.02,strahler
35644.35,4308.08,3918.05,11559.63,30948.34,36799.22,strahler
37200.02,5390.87,8646.34,15523.76,32973.6,38239.4,strahler
38600.12,9971.88,12901.81,19091.49,34796.34,39535.56,strahler
39860.21,12702.99,16731.73,22302.44,36436.81,40702.1,strahler
40994.28,13480.39,20178.66,25192.29,37913.23,41752,strahler
42014.96,17252.46,22960.89,27793.16,39242,42696.9,strahler
42933.56,20647.31,14403.95,30133.95,40082.8,43547.31,strahler
43760.31,22554.08,9690.47,23055.47,41194.62,44312.68,strahler
44504.38,14353.54,7604.24,17330.24,38401.31,45001.51,strahler
45174.04,10231.77,6758.62,14168.12,25331.16,45621.46,strahler
45596.94,8048.88,6457.81,12510.06,19976.08,46179.41,strahler
46157.34,6589.94,6499.13,11870.03,23098.57,46221.77,strahler
46661.71,5926.97,6422.06,11432.51,20003.79,46719.69,strahler
37798.85,5502.49,6115.03,10361.76,15607.89,31198.85,strahler
27137.93,4855.74,5645.52,9182.38,14618.45,21561.42,strahler
24672.47,3995.37,4933.26,7739.19,16809.7,15147.21,strahler
20512.73,3285.69,4320.13,6529.59,20248.83,11092.61,strahler
22226.06,2603.84,3485.56,5222.8,23344.05,11165.25,strahler
24040.95,1925.92,2575.78,3938.9,26129.74,13146.12,strahler
24502.06,1382.46,2041.39,3233.95,28636.87,15844.51,strahler
26768.35,1402.91,2169.15,3447.05,30735.18,17222.46,strahler
23613.18,1593.42,2455.14,3892.65,22457.09,15493.23,strahler
24988.26,1887.18,2876.82,4606.48,23421.78,17471.41,strahler
27609.53,2389.86,4890.44,8989.84,26199.7,20844.37,strahler
29968.68,7270.98,9521.5,13210.95,28699.83,23880.03,strahler
32091.91,11663.98,13689.45,17009.96,30949.95,26612.12,strahler
34002.82,15617.68,16702.3,20429.06,30990.95,29071.01,strahler
35722.63,19176.01,17817.77,23506.25,27399.48,31284.01,strahler
30310.32,22378.51,18213.4,26275.73,24829.74,33275.71,strahler
29635.66,25260.76,21512.16,28768.25,19988.37,35068.23,strahler
29796.29,27854.78,24481.04,31011.53,16256.18,29920.62,strahler
17865.15,20723.39,13791.52,20303.26,9463.09,16400.31,strahler
9294.57,10891.2,7443.26,11869.63,5248.55,8783.65,strahler
4913.29,5954.6,4125.63,7307.32,2986.27,4835.83,strahler
2645.64,3256.8,2411.81,4632.66,1815.64,2774.91,strahler
1531.32,2120.4,3135.33,5719.99,1218.82,1817.96,strahler
1125.16,2408.66,6134.1,9774.79,1145.91,1719.98,strahler
2876.44,7262.79,10640.79,13917.41,5029.32,6184.68,strahler
7708.9,11656.61,14696.81,17645.77,9646.49,10686.31,strahler
12058.11,15611.05,18347.23,21001.3,13801.94,14737.78,strahler
15972.4,19170.05,21632.61,24021.26,17541.84,18384.1,strahler
19495.26,22373.14,24589.44,26739.24,20907.76,21665.79,strahler
22665.83,23629.13,27250.6,29185.41,23937.08,22965.81,strahler
25519.35,26386.31,29645.64,31386.97,26502.27,23857.53,strahler
25595.31,26150.66,31801.17,33368.37,24486.14,24100.58,strahler
19671.66,21417.83,32769.75,35151.64,20713.57,21711.29,strahler
15147.83,16455.91,34612.88,36756.57,14680.28,15929.14,strahler
8814.91,9437.46,19202.44,21454.79,8331.14,8882.57,strahler
4641.46,5012.23,10169.72,11793.39,4671.07,4882.29,strahler
2558.23,2801.11,5665.36,6990.7,2853.54,2897.14,strahler
