violet,blue,green,yellow,orange,red,label
2641.99,2469.61,3782.31,5323.46,6148.9,1941.11,atelier
3001.99,2688.55,4604.48,5959.51,7087.91,2016.39,atelier
3309.89,2773.2,5494.83,6533.86,7993.42,2059.06,atelier
3613.8,2951.18,5753.85,7013.58,8127.08,2252.75,atelier
3835.42,3172.86,5634.42,7353.02,6902.54,2475.17,atelier
3997.08,3377.67,4887.21,7584.92,5678.77,2688.06,atelier
4184.67,3547.41,5598.09,8005.32,6535.79,2709.75,atelier
4375.6,3608.56,6164.48,8370.19,7277.21,2746.58,atelier
4556.74,3688.21,6809.53,8657.27,8050.89,2729.29,atelier
4704.17,3296.1,7517.28,8902.54,8849.7,2507.14,atelier
4850.35,3300.69,7952.95,9139.69,9331.83,2564.53,atelier
4972.82,3432.22,5357.48,8817.85,6039.42,2791.88,atelier
5088.54,3534,6108.43,9077.96,6754.77,2843.59,atelier
3784.86,1596.23,13058.12,6444,10590.34,1411.48,atelier
3285.43,960.61,11597.06,5152.5,10986.7,1088.74,atelier
3160.22,661.81,11650.56,5159.85,11567.33,1107.16,atelier
3332.69,786.23,12147.3,5655.97,12167.7,1273.15,atelier
3617.42,1049.2,12649.47,6239.07,12513.13,1544.53,atelier
3874.78,1379.28,13135.32,6847.26,12539.02,1859.38,atelier
4113.5,1670.35,13550.39,7334.74,12702.01,2180.24,atelier
4350.65,1878.92,13900.25,7735.86,12880.91,2470.42,atelier
4577.19,2022.43,14232.23,8086.68,13079.32,2716.48,atelier
4789.47,2146.18,14528.3,8460.31,13156.79,2919.93,atelier
4986.12,2187.67,14763.77,8693.98,13395.61,3039.34,atelier
5154.11,2247.1,14920.39,9040.68,12902.3,3199.2,atelier
5301.1,2391.29,14977.25,9397.91,11910.65,3356.38,atelier
5404.39,2584.36,14096.13,9712.02,10185.83,3514.94,atelier
5478.35,2777.52,12613.06,9940.82,9003.41,3651.15,atelier
5551.51,2944.37,10837.03,9976.14,8756.21,3756.43,atelier
5600.21,1844.46,8341.87,5563.64,11372.85,3745.17,atelier
5441.1,1250.23,6642.44,4158.82,11746.76,3776.35,atelier
5458.09,1126.11,5009.22,3278.91,11997.28,3834.92,atelier
5344.55,1027.06,3499.61,2573.45,12020.06,3890.83,atelier
4942.27,902.03,2191.8,1814.23,10251.53,3893.84,atelier
4546.14,807.51,1565.4,1519.11,9545.76,3926.66,atelier
4463.07,811.06,1262.2,1411.56,9234.88,3967.89,atelier
4186.53,757.53,1035.6,1245.28,8446.44,3988.1,atelier
4147.27,768.78,899.8,1116.64,7621.72,4002.09,atelier
4013.63,773.5,818.4,1004.82,6846.36,4002.68,atelier
3747.32,726.75,793.7,959.41,6504.18,3996.34,atelier
3813.89,767.58,822.23,1032.37,6751.96,4064.71,atelier
3931.4,859.52,910.01,1210.03,7162.17,4160.54,atelier
4112.36,1043.87,1022.81,1452.53,7582.55,4252.08,atelier
21989.96,22816.72,14070.96,21640.32,15117.4,26838.8,draussen
22567.56,23269.05,14633.46,22176.79,15872.46,27099.42,draussen
23091.8,23598.64,15176.51,22699.51,16521.51,27334.68,draussen
23535.42,23906.68,15749.26,23269.16,17185.66,27556.11,draussen
24062.58,24356.51,16725.34,24084.54,18038.09,27719.2,draussen
24576.72,24779.56,17620.2,24845.59,18790.79,27860.68,draussen
25027.05,25167.4,18378.08,25513.73,19424.31,27997.11,draussen
25450.15,25472.36,18960.77,25993.66,20009.08,28135.9,draussen
25832.93,25734.72,19433.39,26387.29,20505.47,28272.71,draussen
26164.04,25962.85,19876.55,26787.26,20957.62,28385.14,draussen
26501.13,26185.37,20579.1,27339.33,21558.36,28409.22,draussen
15517.56,11578.03,6929.83,10784.36,9855.56,17729.73,draussen
15593.2,11653.42,7005.75,10902.52,9930.91,17731.06,draussen
15847.18,11902.38,7185.47,11129.27,10108.52,17804.05,draussen
15931.76,11993.84,7214.62,11177.94,10148.87,17672.03,draussen
15969.09,11843.42,7354.66,11348.05,10316.08,17734.83,draussen
15937.54,11572.21,6848.33,10764.02,9851.04,17172.41,draussen
15358.27,11513.11,6873,10873.42,9640.02,17325.47,draussen
15755.14,11860.59,7014,11128.38,9756.42,17583.42,draussen
14844.07,11941.54,5847,10030.69,8000.71,17529.71,draussen
13134.54,11381.27,5001,8743.84,6695.85,16686.36,draussen
11122.77,9745.13,4269.5,6818.42,5494.93,14231.68,draussen
9391.88,8502.57,3830.75,6150.21,4921.96,13468.84,draussen
